ingredient_name,rating,functions,benefits
3-O Ethyl Ascorbic Acid,BEST,"This potent antioxidant is a highly stable form of vitamin C that improves skin tone, helps fade discolorations, and visibly firms skin.","Anti-Aging, Evens Skin Tone, Dark Spot Fading"
Acai,BEST,"Pronounced ""ah-sigh-ee"", this small berry has a deep purple color and is a rich source of antioxidants.","Anti-Aging, Soothing"
Acerola Fruit Extract,BEST,This fruit extract is a potent source of antioxidants and hydrating polysaccharides.,Anti-Aging
Acetyl Carnitine HCL,BEST,Functions as an antioxidant.,Hydration
Acetyl Dipeptide-1 Cetyl Ester,BEST,"A lab-made skin-firming peptide formed from a reaction between acetic acid, cetyl alcohol, and dipeptide-1, which contains the amino acids arginine and tyrosine.",Anti-Aging
Acetyl Glucosamine,BEST,Antioxidant known to help visibly fade discolorations and soothe skin. It also helps skin naturally produce its own hyaluronic acid content.,"Hydration, Soothing, Evens Skin Tone"
Acetyl Hexapeptide-1,BEST,"Acetyl hexapeptide-1 is a synthetic peptide composed of the amino acids alanine, arginine, histidine, leucine, phenylalanine and tryptophan.","Anti-Aging, Hydration"
Acetyl Hexapeptide-37,BEST,"This synthetic peptide is composed of amino acids (alanine, proline, serine, and glycine). It works to help skin’s layers maintain adequate hydration.","Anti-Aging, Hydration"
Acetyl Hexapeptide-8,BEST,"One of several peptides used in skin care products, this ingredient has skin-restoring and water-binding properties, helping it improve both the look and feel of skin.","Anti-Aging, Hydration"
Acetyl sh-Hexapeptide-5 Amide Acetate,BEST,"Often called simply ""hexapeptide-5"", this peptide is derived from the versatile protein versican, which plays a role in skin’s extracellular matrix. Topical use promotes a firmer look and feel.",Anti-Aging
Acetyl Tetrapeptide-11,BEST,Acetyl tetrapeptide-11 is a synthetic peptide that helps skin look and feel healthier.,"Anti-Aging, Hydration"
Acetyl Tetrapeptide-5,BEST,"Acetyl tetrapeptide-5 is a synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin.","Anti-Aging, Soothing"
Acetyl Tetrapeptide-9,BEST,Acetyl tetrapeptide-9 is a synthetic peptide that helps visibly restore skin's natural support.,Anti-Aging
Acetyl Zingerone,BEST,"This ginger-derived antioxidant offers a long list of benefits to skin, mostly around offsetting the visible impact of environmental exposure and helping to visibly repair past damage.",
Achillea Millefolium Extract,BEST,"This ingredient, also known as yarrow extract, has antioxidant and calming properties for skin.","Anti-Aging, Soothing"
Actinidia Chinensis (Kiwi) Fruit Extract,BEST,"Actinidia chinensis (kiwi) fruit extract is an excellent source of antioxidants, including vitamin C.",Anti-Aging
Active Ingredient,BEST,Indicates an ingredient is regulated and approved to perform a specific skin care function.,"Benefits: Anti-Aging, Anti-Acne, Dark Spot Fading"
Adansonia Digitata Seed Extract,BEST,"Plant extract from the baobab tree, rich in skin-nourishing amino acids and fatty acids, as well as phenolic and flavonoid compounds that exhibit strong antioxidant benefits.","Anti-Aging, Hydration, Soothing"
Adansonia Digitata Seed Oil,BEST,"Also known as Baobab seed oil, this plant-derived emollient ingredient hydrates, soothes, and provides anti-aging antioxidant benefits.","Anti-Aging, Hydration, Soothing"
Adenosine,BEST,"Known for wrinkle-smoothing and skin-soothing benefits. Adenosine is also naturally present in skin, allowing for ideal biocompatibility.",Soothing
